year,month,missing_days
1989,6,21
1989,9,15
1989,11,20
1990,6,15
1990,10,24
1990,12,23
1991,3,20
1991,6,17
1991,8,23
1991,10,23
1991,12,23
1992,4,16
1992,6,15
1992,8,21
1992,12,16
1993,1,20
1993,3,22
1993,7,22
1993,9,17
1993,11,18
1994,5,15
1994,11,21
1994,12,27
1995,3,16
1995,4,15
1995,5,19
1995,7,15
1995,8,16
1995,10,21
1995,12,15
1996,2,17
1996,6,18
1996,8,22
1996,11,17
1997,2,17
1997,5,21
1997,8,17
1997,11,17
1998,2,16
1998,5,20
1998,7,17
1998,8,17
1998,10,17
1999,2,17
1999,6,20
1999,7,21
1999,9,20
1999,11,18
2000,1,20
2000,2,17
2000,5,19
2000,8,19
2000,10,17
2000,12,18
2001,3,15
2001,4,24
2001,6,16
2001,8,19
2001,10,15
2001,12,20
